date,material,price,source
2020-01-01,tin,17029.18,worldbank-pinksheet
2020-01-01,nickel,13506.86,worldbank-pinksheet
2020-01-01,copper,6031.21,worldbank-pinksheet
2020-01-01,aluminum,1773.09,worldbank-pinksheet
2020-01-01,zinc,2354.31,worldbank-pinksheet
2020-01-01,lead,1923.93,worldbank-pinksheet
2020-01-01,tin,987.36,worldbank-pinksheet
2020-02-01,zinc,2113.24,worldbank-pinksheet
2020-02-01,tin,961.1,worldbank-pinksheet
2020-02-01,aluminum,1688.1,worldbank-pinksheet
2020-02-01,tin,16480.3,worldbank-pinksheet
2020-02-01,lead,1872.54,worldbank-pinksheet
2020-02-01,nickel,12715.55,worldbank-pinksheet
2020-02-01,copper,5687.75,worldbank-pinksheet
2020-03-01,lead,1734.44,worldbank-pinksheet
2020-03-01,nickel,11846.23,worldbank-pinksheet
2020-03-01,copper,5182.63,worldbank-pinksheet
2020-03-01,tin,759.0,worldbank-pinksheet
2020-03-01,aluminum,1610.89,worldbank-pinksheet
2020-03-01,tin,15290.91,worldbank-pinksheet
2020-03-01,zinc,1903.63,worldbank-pinksheet
2020-04-01,nickel,11804.01,worldbank-pinksheet
2020-04-01,aluminum,1459.93,worldbank-pinksheet
2020-04-01,tin,753.86,worldbank-pinksheet
2020-04-01,zinc,1903.37,worldbank-pinksheet
2020-04-01,copper,5057.97,worldbank-pinksheet
2020-04-01,tin,14952.8,worldbank-pinksheet
2020-04-01,lead,1657.55,worldbank-pinksheet
2020-05-01,lead,1626.34,worldbank-pinksheet
2020-05-01,tin,790.22,worldbank-pinksheet
2020-05-01,zinc,1975.32,worldbank-pinksheet
2020-05-01,tin,15401.92,worldbank-pinksheet
2020-05-01,copper,5239.83,worldbank-pinksheet
2020-05-01,aluminum,1466.37,worldbank-pinksheet
2020-05-01,nickel,12179.61,worldbank-pinksheet
2020-06-01,tin,16837.84,worldbank-pinksheet
2020-06-01,zinc,2025.71,worldbank-pinksheet
2020-06-01,nickel,12727.15,worldbank-pinksheet
2020-06-01,copper,5754.6,worldbank-pinksheet
2020-06-01,aluminum,1568.57,worldbank-pinksheet
2020-06-01,lead,1744.84,worldbank-pinksheet
2020-06-01,tin,820.77,worldbank-pinksheet
2020-07-01,tin,17469.92,worldbank-pinksheet
2020-07-01,zinc,2177.2,worldbank-pinksheet
2020-07-01,nickel,13402.3,worldbank-pinksheet
2020-07-01,aluminum,1643.81,worldbank-pinksheet
2020-07-01,lead,1817.93,worldbank-pinksheet
2020-07-01,copper,6372.46,worldbank-pinksheet
2020-07-01,tin,864.64,worldbank-pinksheet
2020-08-01,tin,940.33,worldbank-pinksheet
2020-08-01,copper,6498.94,worldbank-pinksheet
2020-08-01,zinc,2410.05,worldbank-pinksheet
2020-08-01,nickel,14537.75,worldbank-pinksheet
2020-08-01,lead,1935.73,worldbank-pinksheet
2020-08-01,tin,17650.03,worldbank-pinksheet
2020-08-01,aluminum,1737.26,worldbank-pinksheet
2020-09-01,aluminum,1743.77,worldbank-pinksheet
2020-09-01,zinc,2442.46,worldbank-pinksheet
2020-09-01,lead,1872.91,worldbank-pinksheet
2020-09-01,copper,6704.9,worldbank-pinksheet
2020-09-01,nickel,14857.49,worldbank-pinksheet
2020-09-01,tin,907.62,worldbank-pinksheet
2020-09-01,tin,17951.26,worldbank-pinksheet
2020-10-01,zinc,2440.65,worldbank-pinksheet
2020-10-01,tin,18176.59,worldbank-pinksheet
2020-10-01,tin,876.27,worldbank-pinksheet
2020-10-01,nickel,15239.36,worldbank-pinksheet
2020-10-01,aluminum,1806.1,worldbank-pinksheet
2020-10-01,copper,6713.81,worldbank-pinksheet
2020-10-01,lead,1776.27,worldbank-pinksheet
2020-11-01,tin,18522.48,worldbank-pinksheet
2020-11-01,lead,1915.62,worldbank-pinksheet
2020-11-01,aluminum,1935.28,worldbank-pinksheet
2020-11-01,zinc,2671.6,worldbank-pinksheet
2020-11-01,copper,7068.91,worldbank-pinksheet
2020-11-01,tin,911.55,worldbank-pinksheet
2020-11-01,nickel,15807.73,worldbank-pinksheet
2020-12-01,aluminum,2014.6719047619,fred
2020-12-01,copper,7772.24,worldbank-pinksheet
2020-12-01,lead,2020.47,worldbank-pinksheet
2020-12-01,tin,19731.9557142857,fred
2020-12-01,nickel,16823.04,worldbank-pinksheet
2020-12-01,aluminum,2014.67,worldbank-pinksheet
2020-12-01,zinc,2779.85142857143,fred
2020-12-01,lead,2020.46904761905,fred
2020-12-01,zinc,2779.85,worldbank-pinksheet
2020-12-01,tin,19731.96,worldbank-pinksheet
2020-12-01,tin,1028.0,worldbank-pinksheet
2020-12-01,copper,7772.2380952381,fred
2020-12-01,nickel,16823.0385714286,fred
2021-01-01,copper,7972.1475,fred
2021-01-01,copper,7972.15,worldbank-pinksheet
2021-01-01,tin,21920.24,worldbank-pinksheet
2021-01-01,zinc,2705.345,fred
2021-01-01,tin,21920.2375,fred
2021-01-01,tin,1090.95,worldbank-pinksheet
2021-01-01,nickel,17863.176,fred
2021-01-01,aluminum,2003.9755,fred
2021-01-01,lead,2014.7255,fred
2021-01-01,zinc,2705.34,worldbank-pinksheet
2021-01-01,aluminum,2003.98,worldbank-pinksheet
2021-01-01,lead,2014.73,worldbank-pinksheet
2021-01-01,nickel,17863.18,worldbank-pinksheet
2021-02-01,nickel,18584.38,fred
2021-02-01,tin,26315.75,worldbank-pinksheet
2021-02-01,lead,2080.11,worldbank-pinksheet
2021-02-01,copper,8470.94,fred
2021-02-01,aluminum,2078.5935,fred
2021-02-01,tin,26315.75,fred
2021-02-01,lead,2080.1125,fred
2021-02-01,aluminum,2078.59,worldbank-pinksheet
2021-02-01,tin,1206.7,worldbank-pinksheet
2021-02-01,zinc,2744.5,worldbank-pinksheet
2021-02-01,copper,8470.94,worldbank-pinksheet
2021-02-01,zinc,2744.5025,fred
2021-02-01,nickel,18584.38,worldbank-pinksheet
2021-03-01,nickel,16406.66,worldbank-pinksheet
2021-03-01,nickel,16406.6604347826,fred
2021-03-01,lead,1948.0,worldbank-pinksheet
2021-03-01,zinc,2791.94,worldbank-pinksheet
2021-03-01,tin,27061.0,fred
2021-03-01,copper,8988.24782608696,fred
2021-03-01,copper,8988.25,worldbank-pinksheet
2021-03-01,zinc,2791.93695652174,fred
2021-03-01,tin,27061.0,worldbank-pinksheet
2021-03-01,aluminum,2190.48,worldbank-pinksheet
2021-03-01,tin,1181.0,worldbank-pinksheet
2021-03-01,aluminum,2190.48260869565,fred
2021-03-01,lead,1948.00043478261,fred
2021-04-01,tin,28328.42,worldbank-pinksheet
2021-04-01,copper,9324.82,worldbank-pinksheet
2021-04-01,tin,28328.425,fred
2021-04-01,aluminum,2319.39,worldbank-pinksheet
2021-04-01,zinc,2829.0125,fred
2021-04-01,copper,9324.8175,fred
2021-04-01,lead,2011.92,worldbank-pinksheet
2021-04-01,aluminum,2319.3925,fred
2021-04-01,nickel,16521.25,fred
2021-04-01,zinc,2829.01,worldbank-pinksheet
2021-04-01,nickel,16521.25,worldbank-pinksheet
2021-04-01,tin,1208.81,worldbank-pinksheet
2021-04-01,lead,2011.919,fred
2021-05-01,copper,10161.97,worldbank-pinksheet
2021-05-01,zinc,2965.73,worldbank-pinksheet
2021-05-01,copper,10166.285,fred
2021-05-01,zinc,2969.62,fred
2021-05-01,nickel,17577.06,worldbank-pinksheet
2021-05-01,tin,1214.0,worldbank-pinksheet
2021-05-01,aluminum,2434.7765,fred
2021-05-01,tin,32246.21,worldbank-pinksheet
2021-05-01,aluminum,2433.53,worldbank-pinksheet
2021-05-01,lead,2182.5345,fred
2021-05-01,nickel,17602.1025,fred
2021-05-01,tin,32283.9,fred
2021-05-01,lead,2181.81,worldbank-pinksheet
2021-06-01,nickel,17979.5659090909,fred
2021-06-01,lead,2191.02909090909,fred
2021-06-01,zinc,2951.85,worldbank-pinksheet
2021-06-01,copper,9631.5,fred
2021-06-01,zinc,2951.85227272727,fred
2021-06-01,tin,32502.5454545455,fred
2021-06-01,tin,1124.0,worldbank-pinksheet
2021-06-01,tin,32502.55,worldbank-pinksheet
2021-06-01,nickel,17979.57,worldbank-pinksheet
2021-06-01,lead,2191.03,worldbank-pinksheet
2021-06-01,aluminum,2446.65,worldbank-pinksheet
2021-06-01,aluminum,2446.64545454545,fred
2021-06-01,copper,9631.5,worldbank-pinksheet
2021-07-01,lead,2337.51363636364,fred
2021-07-01,nickel,18818.51,worldbank-pinksheet
2021-07-01,aluminum,2497.64,worldbank-pinksheet
2021-07-01,copper,9450.82045454546,fred
2021-07-01,zinc,2947.51727272727,fred
2021-07-01,aluminum,2497.63545454545,fred
2021-07-01,zinc,2947.52,worldbank-pinksheet
2021-07-01,copper,9450.82,worldbank-pinksheet
2021-07-01,tin,34020.18,worldbank-pinksheet
2021-07-01,nickel,18818.5113636364,fred
2021-07-01,lead,2337.51,worldbank-pinksheet
2021-07-01,tin,34020.1818181818,fred
2021-07-01,tin,1086.48,worldbank-pinksheet
2021-08-01,nickel,19141.2966666667,fred
2021-08-01,lead,2414.46761904762,fred
2021-08-01,copper,9370.13857142857,fred
2021-08-01,zinc,2987.95,worldbank-pinksheet
2021-08-01,aluminum,2602.99,worldbank-pinksheet
2021-08-01,tin,35024.0,fred
2021-08-01,copper,9370.14,worldbank-pinksheet
2021-08-01,nickel,19141.3,worldbank-pinksheet
2021-08-01,lead,2414.47,worldbank-pinksheet
2021-08-01,aluminum,2602.99190476191,fred
2021-08-01,tin,1008.73,worldbank-pinksheet
2021-08-01,zinc,2987.94714285714,fred
2021-08-01,tin,35024.0,worldbank-pinksheet
2021-09-01,tin,973.19,worldbank-pinksheet
2021-09-01,tin,34887.3,worldbank-pinksheet
2021-09-01,lead,2248.3,worldbank-pinksheet
2021-09-01,lead,2248.29772727273,fred
2021-09-01,copper,9324.71,worldbank-pinksheet
2021-09-01,aluminum,2834.55681818182,fred
2021-09-01,aluminum,2834.56,worldbank-pinksheet
2021-09-01,zinc,3036.02,worldbank-pinksheet
2021-09-01,zinc,3036.01863636364,fred
2021-09-01,copper,9324.70954545455,fred
2021-09-01,tin,34887.3027272727,fred
2021-09-01,nickel,19376.875,fred
2021-09-01,nickel,19376.88,worldbank-pinksheet
2021-10-01,copper,9829.21904761905,fred
2021-10-01,aluminum,2934.39,worldbank-pinksheet
2021-10-01,aluminum,2934.39380952381,fred
2021-10-01,nickel,19362.39,worldbank-pinksheet
2021-10-01,nickel,19362.3928571429,fred
2021-10-01,tin,37722.92,worldbank-pinksheet
2021-10-01,tin,1017.1,worldbank-pinksheet
2021-10-01,copper,9829.22,worldbank-pinksheet
2021-10-01,lead,2344.83238095238,fred
2021-10-01,tin,37722.9204761905,fred
2021-10-01,zinc,3359.91238095238,fred
2021-10-01,zinc,3359.91,worldbank-pinksheet
2021-10-01,lead,2344.83,worldbank-pinksheet
2021-11-01,copper,9728.9,worldbank-pinksheet
2021-11-01,nickel,19932.8631818182,fred
2021-11-01,aluminum,2636.45,worldbank-pinksheet
2021-11-01,nickel,19932.86,worldbank-pinksheet
2021-11-01,tin,1038.05,worldbank-pinksheet
2021-11-01,copper,9728.90454545454,fred
2021-11-01,zinc,3311.27181818182,fred
2021-11-01,lead,2329.98,worldbank-pinksheet
2021-11-01,tin,39158.6895454545,fred
2021-11-01,aluminum,2636.45227272727,fred
2021-11-01,lead,2329.97727272727,fred
2021-11-01,zinc,3311.27,worldbank-pinksheet
2021-11-01,tin,39158.69,worldbank-pinksheet
2021-12-01,lead,2301.69,fred
2021-12-01,zinc,3399.21,worldbank-pinksheet
2021-12-01,copper,9551.18,worldbank-pinksheet
2021-12-01,nickel,20015.5485714286,fred
2021-12-01,nickel,20015.55,worldbank-pinksheet
2021-12-01,tin,944.59,worldbank-pinksheet
2021-12-01,tin,39422.52,worldbank-pinksheet
2021-12-01,zinc,3399.21428571429,fred
2021-12-01,tin,39422.5166666667,fred
2021-12-01,copper,9551.18,fred
2021-12-01,aluminum,2695.53142857143,fred
2021-12-01,lead,2301.69,worldbank-pinksheet
2021-12-01,aluminum,2695.53,worldbank-pinksheet
2022-01-01,tin,41791.7,worldbank-pinksheet
2022-01-01,aluminum,3005.9805,fred
2022-01-01,tin,994.15,worldbank-pinksheet
2022-01-01,zinc,3599.14,worldbank-pinksheet
2022-01-01,nickel,22355.4,fred
2022-01-01,lead,2331.85,worldbank-pinksheet
2022-01-01,tin,41791.7,fred
2022-01-01,copper,9782.34,worldbank-pinksheet
2022-01-01,lead,2331.8495,fred
2022-01-01,aluminum,3005.98,worldbank-pinksheet
2022-01-01,nickel,22355.4,worldbank-pinksheet
2022-01-01,copper,9782.3375,fred
2022-01-01,zinc,3599.1375,fred
2022-02-01,lead,2296.8605,fred
2022-02-01,zinc,3620.0375,fred
2022-02-01,aluminum,3245.79,worldbank-pinksheet
2022-02-01,aluminum,3245.7855,fred
2022-02-01,tin,1049.4,worldbank-pinksheet
2022-02-01,nickel,24015.55,worldbank-pinksheet
2022-02-01,zinc,3620.04,worldbank-pinksheet
2022-02-01,lead,2296.86,worldbank-pinksheet
2022-02-01,copper,9943.175,fred
2022-02-01,copper,9943.17,worldbank-pinksheet
